[INFO ] 2024-07-22 17:13:52.740 [main] Prueba - El fichero C:\GITHUB\DISDEN\TANGO\JAVA\lee\ex1.xls existe
[TRACE] 2024-07-22 17:13:53.358 [main] InternalWorkbook - found XF record at 118
[TRACE] 2024-07-22 17:13:53.359 [main] InternalWorkbook - found XF record at 119
[TRACE] 2024-07-22 17:13:53.359 [main] InternalWorkbook - found XF record at 120
[TRACE] 2024-07-22 17:13:53.359 [main] InternalWorkbook - found XF record at 121
[TRACE] 2024-07-22 17:13:53.359 [main] InternalWorkbook - found XF record at 122
[TRACE] 2024-07-22 17:13:53.359 [main] InternalWorkbook - found XF record at 123
[TRACE] 2024-07-22 17:13:53.359 [main] InternalWorkbook - found XF record at 124
[TRACE] 2024-07-22 17:13:53.359 [main] InternalWorkbook - found XF record at 125
[TRACE] 2024-07-22 17:13:53.360 [main] InternalWorkbook - found XF record at 126
[TRACE] 2024-07-22 17:13:53.360 [main] InternalWorkbook - found XF record at 127
[TRACE] 2024-07-22 17:13:53.360 [main] InternalWorkbook - found XF record at 128
[TRACE] 2024-07-22 17:13:53.360 [main] InternalWorkbook - found XF record at 129
[TRACE] 2024-07-22 17:13:53.360 [main] InternalWorkbook - found XF record at 130
[TRACE] 2024-07-22 17:13:53.360 [main] InternalWorkbook - found XF record at 131
[TRACE] 2024-07-22 17:13:53.360 [main] InternalWorkbook - found XF record at 132
[TRACE] 2024-07-22 17:13:53.360 [main] InternalWorkbook - found XF record at 133
[TRACE] 2024-07-22 17:13:53.360 [main] InternalWorkbook - found XF record at 134
[TRACE] 2024-07-22 17:13:53.360 [main] InternalWorkbook - found XF record at 135
[TRACE] 2024-07-22 17:13:53.361 [main] InternalWorkbook - found XF record at 136
[TRACE] 2024-07-22 17:13:53.361 [main] InternalWorkbook - found XF record at 137
[TRACE] 2024-07-22 17:13:53.361 [main] InternalWorkbook - found XF record at 138
[TRACE] 2024-07-22 17:13:53.361 [main] InternalWorkbook - found XF record at 139
[TRACE] 2024-07-22 17:13:53.361 [main] InternalWorkbook - found XF record at 140
[TRACE] 2024-07-22 17:13:53.361 [main] InternalWorkbook - found XF record at 141
[TRACE] 2024-07-22 17:13:53.361 [main] InternalWorkbook - found XF record at 142
[TRACE] 2024-07-22 17:13:53.361 [main] InternalWorkbook - found XF record at 143
[TRACE] 2024-07-22 17:13:53.361 [main] InternalWorkbook - found XF record at 144
[TRACE] 2024-07-22 17:13:53.361 [main] InternalWorkbook - found XF record at 145
[TRACE] 2024-07-22 17:13:53.361 [main] InternalWorkbook - found XF record at 146
[TRACE] 2024-07-22 17:13:53.362 [main] InternalWorkbook - found XF record at 147
[TRACE] 2024-07-22 17:13:53.362 [main] InternalWorkbook - found XF record at 148
[TRACE] 2024-07-22 17:13:53.362 [main] InternalWorkbook - found XF record at 149
[TRACE] 2024-07-22 17:13:53.362 [main] InternalWorkbook - found XF record at 150
[TRACE] 2024-07-22 17:13:53.362 [main] InternalWorkbook - found XF record at 151
