[INFO ] 2024-08-02 12:07:49.410 [main] SharedLogger - Producto{codigo='AGU00112', lista=4, moneda='Corriente', precio=52030.0}
[INFO ] 2024-08-02 12:07:49.411 [main] SharedLogger - Producto{codigo='AGU00114', lista=3, moneda='Corriente', precio=75000.0}
[INFO ] 2024-08-02 12:07:49.411 [main] SharedLogger - Producto{codigo='AGU00114', lista=4, moneda='Corriente', precio=52030.0}
[INFO ] 2024-08-02 12:07:49.411 [main] SharedLogger - Producto{codigo='AGU00115', lista=3, moneda='Corriente', precio=75000.0}
[INFO ] 2024-08-02 12:07:49.411 [main] SharedLogger - Producto{codigo='AGU00115', lista=4, moneda='Corriente', precio=52030.0}
[INFO ] 2024-08-02 12:07:49.411 [main] SharedLogger - Producto{codigo='AGU00116', lista=3, moneda='Corriente', precio=75000.0}
[INFO ] 2024-08-02 12:07:49.412 [main] SharedLogger - Producto{codigo='AGU00116', lista=4, moneda='Corriente', precio=52030.0}
[INFO ] 2024-08-02 12:07:49.412 [main] SharedLogger - Producto{codigo='AGU00117', lista=3, moneda='Corriente', precio=3900.0}
[INFO ] 2024-08-02 12:07:49.412 [main] SharedLogger - Producto{codigo='AGU00117', lista=4, moneda='Corriente', precio=3900.0}
[INFO ] 2024-08-02 12:07:49.412 [main] SharedLogger - Producto{codigo='AGU00118', lista=3, moneda='Corriente', precio=3900.0}
[INFO ] 2024-08-02 12:07:49.412 [main] SharedLogger - Producto{codigo='AGU00118', lista=4, moneda='Corriente', precio=3900.0}
[INFO ] 2024-08-02 12:07:49.412 [main] SharedLogger - Producto{codigo='AGU00119', lista=3, moneda='Corriente', precio=3900.0}
[INFO ] 2024-08-02 12:07:49.412 [main] SharedLogger - Producto{codigo='AGU00119', lista=4, moneda='Corriente', precio=3900.0}
[INFO ] 2024-08-02 12:07:49.413 [main] SharedLogger - Producto{codigo='AGU00120', lista=3, moneda='Corriente', precio=3900.0}
[INFO ] 2024-08-02 12:07:49.413 [main] SharedLogger - Producto{codigo='AGU00120', lista=4, moneda='Corriente', precio=3900.0}
[INFO ] 2024-08-02 12:07:49.413 [main] SharedLogger - Producto{codigo='AGU00121', lista=3, moneda='Corriente', precio=89000.0}
[INFO ] 2024-08-02 12:07:49.413 [main] SharedLogger - Producto{codigo='AGU00121', lista=4, moneda='Corriente', precio=89000.0}
[INFO ] 2024-08-02 12:07:49.413 [main] SharedLogger - Producto{codigo='AGU00122', lista=3, moneda='Corriente', precio=89000.0}
[INFO ] 2024-08-02 12:07:49.413 [main] SharedLogger - Producto{codigo='AGU00122', lista=4, moneda='Corriente', precio=89000.0}
[INFO ] 2024-08-02 12:07:49.414 [main] SharedLogger - Producto{codigo='AGU00123', lista=3, moneda='Corriente', precio=89000.0}
[INFO ] 2024-08-02 12:07:49.414 [main] SharedLogger - Producto{codigo='AGU00123', lista=4, moneda='Corriente', precio=89000.0}
[INFO ] 2024-08-02 12:07:49.414 [main] SharedLogger - Producto{codigo='AGU00124', lista=3, moneda='Corriente', precio=89000.0}
[INFO ] 2024-08-02 12:07:49.414 [main] SharedLogger - Producto{codigo='AGU00124', lista=4, moneda='Corriente', precio=89000.0}
[INFO ] 2024-08-02 12:07:49.414 [main] SharedLogger - Producto{codigo='ALA00003', lista=3, moneda='Corriente', precio=12900.0}
[INFO ] 2024-08-02 12:07:49.414 [main] SharedLogger - Producto{codigo='ALA00003', lista=4, moneda='Corriente', precio=8349.0}
[INFO ] 2024-08-02 12:07:49.415 [main] SharedLogger - Producto{codigo='ALA00004', lista=3, moneda='Corriente', precio=12900.0}
[INFO ] 2024-08-02 12:07:49.415 [main] SharedLogger - Producto{codigo='ALA00004', lista=4, moneda='Corriente', precio=8349.0}
[INFO ] 2024-08-02 12:07:49.415 [main] SharedLogger - Producto{codigo='ALA00005', lista=3, moneda='Corriente', precio=12900.0}
[INFO ] 2024-08-02 12:07:49.415 [main] SharedLogger - Producto{codigo='ALA00005', lista=4, moneda='Corriente', precio=8349.0}
[INFO ] 2024-08-02 12:07:49.415 [main] SharedLogger - Producto{codigo='ALA00008', lista=3, moneda='Corriente', precio=6500.0}
[INFO ] 2024-08-02 12:07:49.415 [main] SharedLogger - Producto{codigo='ALA00008', lista=4, moneda='Corriente', precio=6500.0}
[INFO ] 2024-08-02 12:07:49.415 [main] SharedLogger - Producto{codigo='ALA00009', lista=3, moneda='Corriente', precio=6500.0}
[INFO ] 2024-08-02 12:07:49.416 [main] SharedLogger - Producto{codigo='ALA00009', lista=4, moneda='Corriente', precio=6500.0}
[INFO ] 2024-08-02 12:07:49.416 [main] SharedLogger - Producto{codigo='ALA00010', lista=3, moneda='Corriente', precio=69000.0}
[INFO ] 2024-08-02 12:07:49.416 [main] SharedLogger - Producto{codigo='ALA00010', lista=4, moneda='Corriente', precio=48279.0}
